"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,5,18,2022-05-02,"INBOUND","RECEIVING","OFFSHORE",162.11,234.58,0,205.52,208939.07,16954.75,22816.76,11158.5,6296.5,5,78.88,890.69,72.28,97.27,47.57,26.84,0.02,2.69,3390.95
5,22,5,18,2022-05-02,"INBOUND","RECEIVING","DOMESTIC",48.09,88.6,0,76.63,128273.92,9312.82,7068,1709.5,377,10,62.76,1447.79,105.11,79.77,19.29,4.26,0.11,24.7,931.28
5,22,5,18,2022-05-03,"INBOUND","RECEIVING","OFFSHORE",188.72,271.57,5.75,235.33,301353.31,23667.71,27896.77,19556.5,12141,9,80.19,1109.67,87.15,102.72,72.01,44.71,0.03,1.95,2629.75
5,22,5,18,2022-05-03,"INBOUND","RECEIVING","DOMESTIC",60.59,79.77,2.12,67.55,160169.15,10678.37,10065,2780,378,4,89.7,2007.89,133.86,126.18,34.85,4.74,0.05,28.25,2669.59
5,22,5,18,2022-05-04,"INBOUND","RECEIVING","OFFSHORE",163.29,242.47,6.4,214.08,247383.9,22587.76,24283.6,12656.67,4231,9,76.28,1020.27,93.16,100.15,52.2,17.45,0.04,5.34,2509.75
5,22,5,18,2022-05-04,"INBOUND","RECEIVING","DOMESTIC",80.23,76.45,1.55,64.98,153832.01,9220.53,7032,2108,282,12,123.47,2012.19,120.61,91.98,27.57,3.69,0.16,32.7,768.38
5,22,5,18,2022-05-05,"INBOUND","RECEIVING","OFFSHORE",201.33,274.78,11.48,238.8,268125.5,23590.83,29801.59,13527.33,6189,5,84.31,975.78,85.85,108.46,49.23,22.52,0.02,3.81,4718.17
5,22,5,18,2022-05-05,"INBOUND","RECEIVING","DOMESTIC",82.88,112.32,0.17,98.22,143224.78,10016.02,6993.5,2778,450,4,84.38,1275.15,89.17,62.26,24.73,4.01,0.04,22.26,2504
5,22,5,19,2022-05-06,"INBOUND","RECEIVING","OFFSHORE",166.15,250.43,12.05,216.58,228271.6,20822.88,24907.31,11239.33,4957,6,76.72,911.52,83.15,99.46,44.88,19.79,0.02,4.2,3470.48
5,22,5,19,2022-05-06,"INBOUND","RECEIVING","DOMESTIC",86.16,114.77,1.42,98.52,116471.75,13212.55,7385,2378,464,12,87.45,1014.83,115.12,64.35,20.72,4.04,0.1,28.48,1101.05
5,22,5,19,2022-05-07,"INBOUND","RECEIVING","OFFSHORE",195.28,329.1,29.65,284.6,313068.55,27327.66,28650.51,18528.5,8788.5,8,68.62,951.29,83.04,87.06,56.3,26.7,0.02,3.11,3415.96
